"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"2026 Title I, 1003 School Improvement Grant (Supplemental Support Program)","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/news/2026-title-i-1003-school-improvement-grant-supplemental-support-program","","State funding. Matched source page for New York State Education Department Funding. 2026 Title I, 1003 School Improvement Grant (Supplemental Support Program)"
"2025 Title I, 1003 School Improvement Grant (SIG) Supplemental Support","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities-procurements/news/2025-title-i-1003-school-improvement-grant-sig-supplemental","","State funding. Matched source page for New York State Education Department Funding. 2025 Title I, 1003 School Improvement Grant (SIG) Supplemental Support"
"Find information about grants","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/finance-business/funding-grants","","State funding. Matched source page for New York State Education Department Funding. Find information about grants"
"Grant Opportunities","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/GrantOpportunities","","State funding. Matched source page for Texas Education Agency Grants. Grant Opportunities"
"access all secure TEA applications","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/node/9596","","State funding. Matched source page for Texas Education Agency Grants. access all secure TEA applications"
"Finance, Grants, and Funding","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/school-district-leaders/finance-grants-and-funding","","State funding. Matched source page for Texas Education Agency Grants. Finance, Grants, and Funding"
"grantsupport@tea.texas.gov","Texas Education Agency Grants","State funding","","","","","","","38","","mailto:grantsupport@tea.texas.gov","","State funding. Matched source page for Texas Education Agency Grants. grantsupport@tea.texas.gov"
"GEER Assistance to Private Schools (GAPS) Grant Program","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/data-reports/grants/geer-assistance-private-schools-gaps-grant-program","","State funding. Matched source page for Texas Education Agency Grants. GEER Assistance to Private Schools (GAPS) Grant Program"
"COVID-19 and Federal Grant Funds","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/finance-and-grants/grants/covid-19-and-federal-grant-funds","","State funding. Matched source page for Texas Education Agency Grants. COVID-19 and Federal Grant Funds"
"Emergency Assistance to Non-Public Schools Grant Program","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/finance-and-grants/grants/emergency-assistance-to-non-public-schools-eans-grant-program","","State funding. Matched source page for Texas Education Agency Grants. Emergency Assistance to Non-Public Schools Grant Program"
"Disaster Relief and Federal Grant Funding","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/finance-and-grants/grants/disaster-relief-and-federal-grant-funding","","State funding. Matched source page for Texas Education Agency Grants. Disaster Relief and Federal Grant Funding"
"Forms and Applications","Utah State Board of Education Funding","State funding","","","","","","","38","","https://schools.utah.gov/financialoperations/formsapplications.php","","State funding. Matched source page for Utah State Board of Education Funding. Forms and Applications"
"Utah Grants","Utah State Board of Education Funding","State funding","","","","","","","38","","https://schools.utah.gov/financialoperations/utahgrants.php","","State funding. Matched source page for Utah State Board of Education Funding. Utah Grants"
"Learn more","IES Funding Opportunities","Federal education research","","","","","","","34","","https://ies.ed.gov/funding/deadlines","ies","Federal education research. Matched source page for IES Funding Opportunities. Learn more"
"Virtual office hour help","IES Funding Opportunities","Federal education research","","","","","","","34","","https://ies.ed.gov/funding/help","ies","Federal education research. Matched source page for IES Funding Opportunities. Virtual office hour help"
"IES Application Submission Guide","IES Funding Opportunities","Federal education research","","","","","","","34","","https://ies.ed.gov/ies/2025/01/fy2025-application-submission-guide","ies","Federal education research. Matched source page for IES Funding Opportunities. IES Application Submission Guide"
"Learn more","IES Funding Opportunities","Federal education research","","","","","","","34","","https://ies.ed.gov/funding/grants","ies","Federal education research. Matched source page for IES Funding Opportunities. Learn more"
"Learn more","IES Funding Opportunities","Federal education research","","","","","","","34","","https://www.grants.gov/","ies","Federal education research. Matched source page for IES Funding Opportunities. Learn more"
